Rk,"Team
â–²",W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OeFG%,DTOV%,DRB%,OFT/FGA,eFG%rank,TOV%rank,ORB%rank,FT/FGArank,OeFG%rank,DTOV%rank,DRB%rank,OFT/FGArank
1,Atlanta Hawks,41,31,41,31,2.32,-0.18,2.14,115.7,113.3,97.6,0.278,0.382,0.539,11.9,24.4,0.226,0.530,11.1,77.8,0.190,16,9,4,1,6,28,16,13
2,Boston Celtics,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,0.234,0.409,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,12,18,5,22,16,12,13,27
3,Brooklyn Nets,48,24,46,26,4.50,-0.27,4.24,118.3,113.8,99.5,0.258,0.413,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,1,15,19,5,9,29,21,12
4,Charlotte Hornets,33,39,32,40,-1.93,-0.01,-1.94,110.9,112.8,98.3,0.238,0.422,0.532,13.3,23.5,0.181,0.550,13.2,75.7,0.163,19,24,8,23,26,6,28,3
5,Chicago Bulls,31,41,34,38,-0.89,-0.05,-0.94,111.1,112.0,99.0,0.197,0.383,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,10,27,15,30,14,22,1,18
6,Cleveland Cavaliers,22,50,18,54,-8.44,0.25,-8.19,105.8,114.4,97.3,0.261,0.347,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,29,29,7,12,29,9,26,8
7,Dallas Mavericks,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,97.3,0.242,0.436,0.550,11.1,21.1,0.189,0.534,11.5,77.8,0.197,8,3,23,16,11,25,17,19
8,Denver Nuggets,47,25,47,25,4.93,-0.11,4.82,117.1,112.1,97.1,0.219,0.383,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.200,6,13,2,28,21,10,7,21
9,Detroit Pistons,20,52,26,46,-4.47,0.09,-4.38,108.0,112.5,97.9,0.273,0.385,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,26,26,17,6,18,14,23,15
10,Golden State Warriors,39,33,38,34,1.06,0.04,1.10,111.1,110.1,102.2,0.239,0.439,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,7,25,30,17,4,8,25,29
11,Houston Rockets,17,55,20,52,-7.90,0.40,-7.50,107.1,114.9,101.4,0.252,0.459,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,24,22,28,18,27,11,22,23
12,Indiana Pacers,34,38,36,36,-0.04,-0.08,-0.13,112.4,112.4,101.6,0.227,0.372,0.542,11.9,20.2,0.180,0.531,12.7,74.9,0.201,13,8,26,24,7,13,30,24
13,Los Angeles Clippers,47,25,49,23,6.18,-0.16,6.02,117.6,111.2,96.9,0.222,0.400,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,4,14,12,19,8,19,6,10
14,Los Angeles Lakers,42,30,42,30,2.79,-0.03,2.77,109.9,107.1,98.7,0.271,0.363,0.536,13.6,22.5,0.200,0.526,13.7,79.7,0.184,18,28,14,7,5,4,4,9
15,Memphis Grizzlies,38,34,38,34,1.03,0.04,1.07,112.0,111.0,100.4,0.232,0.342,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,22,6,6,25,12,7,10,17
16,Miami Heat,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,96.6,0.252,0.432,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,11,23,29,8,19,3,15,7
17,Milwaukee Bucks,46,26,48,24,5.89,-0.32,5.57,117.2,111.4,102.2,0.233,0.404,0.566,12.0,23.3,0.177,0.536,11.5,79.7,0.157,2,12,9,26,13,24,3,1
18,Minnesota Timberwolves,23,49,24,48,-5.56,0.31,-5.25,109.5,115.0,101.6,0.254,0.413,0.520,12.4,22.7,0.193,0.556,13.3,76.8,0.207,25,17,13,13,28,5,24,26
19,New Orleans Pelicans,31,41,35,37,-0.29,0.10,-0.20,113.5,113.8,100.1,0.293,0.342,0.537,12.7,26.3,0.214,0.550,11.9,80.0,0.186,17,19,1,4,25,18,2,11
20,New York Knicks,41,31,41,31,2.31,-0.18,2.13,110.6,108.2,95.9,0.242,0.347,0.524,11.9,21.9,0.190,0.509,11.7,78.6,0.196,23,10,16,15,2,21,8,16
21,Oklahoma City Thunder,22,50,15,57,-10.64,0.51,-10.13,103.5,114.0,101.0,0.242,0.399,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,28,30,22,29,23,23,14,4
22,Orlando Magic,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,98.7,0.240,0.356,0.490,11.5,21.6,0.186,0.547,11.5,78.2,0.169,30,5,18,20,24,26,12,5
23,Philadelphia 76ers,49,23,48,24,5.58,-0.31,5.28,113.2,107.6,99.5,0.293,0.347,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.200,14,21,10,2,3,2,11,22
24,Phoenix Suns,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,97.2,0.212,0.392,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,3,4,25,27,10,16,9,14
25,Portland Trail Blazers,42,30,40,32,1.79,0.01,1.81,117.8,116.0,98.4,0.238,0.448,0.540,9.9,23.0,0.195,0.546,11.2,77.5,0.203,15,1,11,10,22,27,19,25
26,Sacramento Kings,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,100.0,0.248,0.376,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,9,11,20,21,30,17,29,20
27,San Antonio Spurs,33,39,32,40,-1.74,0.15,-1.58,111.0,112.8,98.9,0.243,0.314,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,27,2,27,14,17,20,20,6
28,Toronto Raptors,27,45,35,37,-0.47,-0.07,-0.54,112.0,112.5,99.2,0.241,0.444,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,21,7,24,9,20,1,27,30
29,Utah Jazz,52,20,55,17,9.25,-0.29,8.97,117.6,108.3,98.5,0.244,0.488,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,5,20,3,11,1,30,5,2
30,Washington Wizards,34,38,32,40,-1.83,-0.01,-1.85,111.2,113.0,104.1,0.288,0.319,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,20,16,21,3,15,15,18,28